person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Oliviu Albu,oliviualbu,oliviualbu@kappa.ro,3880419107821,1964-08-16,"Drumul Romeo Voinea, Balotesti, 758219",0771 968 702,79:34:95:44:ff:e4,67.231.76.184,RO10DAQM0893306557003053,2025-01-11 05:23:24,15715,588,115,1104695,d2204e2b-b4c2-4c7c-a3a3-7aae3bc8667c
Dacian Aanei,dacianaanei,dacianaanei@141.ro,6080619230341,2003-08-07,"Drumul Ababei, Topoloveni, 429877",0240 961 862,96:82:02:f5:2b:3a,48.185.75.118,RO17FSLR4771788741044268,2024-12-01 00:20:53,12807,774,741,726436,cc2aa2e7-9851-48f3-9c1d-f4b3c0eb1225
Inocențiu Stancu,inocențiustancu,inocențiustancu@post.ro,4080129265741,1920-12-26,"Strada Pușcașu, Campulung, 402811",0720 639 290,c2:1d:92:88:18:20,151.151.48.207,RO30UXJJ0559296383764895,2025-03-19 06:16:47,12888,676,768,664980,8ae3c140-9dd0-4da5-a126-f49c4d225b9e
Voicu Pușcașu,voicupușcașu,voicupușcașu@post.ro,7511210068531,2002-04-13,"Intrarea Popescu Nr. 19, Jibou, 148789",0736 425 154,70:aa:bd:e4:a5:63,75.45.159.210,RO46ZVQH0982745920698955,2024-11-19 23:53:34,29284,409,162,975686,c43cfbc9-1454-4508-8f4f-e639d630db44
Luana Aanei,luanaaanei,luanaaanei@zzup.ro,7910527166161,1996-07-02,"Bulevardul Barbu Nr. 10 Bl. 60  Sc. 43 Ap. 681, Sibiu, 276159",0784 918 209,d3:2c:66:c8:31:4d,123.157.117.232,RO59VIVZ4774637639760622,2024-12-02 19:47:34,28886,870,738,1876268,1c40effc-c0b2-4fd7-a5c2-241305692204
Ilarion Niță,ilarionniță,ilarionniță@kappa.ro,6430714049211,1992-01-10,"Aleea Tabacu Nr. 487, Mangalia, 601271",0750 481 083,39:8a:7c:b8:a9:de,218.206.238.66,RO58OYRX5308610142336775,2024-08-14 22:26:34,18753,471,600,1252379,67ea1daa-8889-4b8d-a36a-57264bb762cd
Norman Dochioiu,normandochioiu,normandochioiu@post.ro,8971001441563,1966-06-28,"Intrarea Dima, Motru, 933648",0729 315 038,9a:b7:6e:19:8b:5a,40.114.79.56,RO64BLCL7362095786728165,2024-09-02 11:24:17,12432,863,199,1568829,f723d28e-ce64-47f2-85ab-bc51ef16dcf8
Nadia Tabacu,nadiatabacu,nadiatabacu@kappa.ro,3410209378158,1923-01-02,"Soseaua Preda Nr. 63, Salonta, 905280",0262 847 883,60:ca:4a:98:95:3c,24.5.178.156,RO10SUEN7069326290179909,2024-05-14 09:22:38,2121,77,0,1411627,ca7430aa-5d76-48df-8f8c-fa4f7ffecd00
Georgia Ene,georgiaene,georgiaene@email.ro,4441222019725,1983-06-28,"Soseaua Stănescu Nr. 466, Aiud, 908058",0754 161 346,39:85:92:5b:45:67,10.35.70.171,RO22QPGN7161666638891768,2025-03-19 21:37:51,23347,617,99,1954719,7a2a43fe-57f5-4468-9c63-60e912b6e81c
Octaviana Barbu,octavianabarbu,octavianabarbu@zzup.ro,2611016415323,2009-04-03,"Soseaua Pop Nr. 514, Fundeni, 637460",0731 801 845,b1:38:43:b2:e8:06,2.94.246.152,RO03NYNL9053774798663210,2024-08-23 22:26:28,30209,634,464,631891,b7b275ca-85c2-41f7-8413-8c68e84fd4b2
Agnos Manole,agnosmanole,agnosmanole@gmail.com,8820414362207,1941-10-05,"Intrarea Astrid Ioniță, Jilava, 983012",0734 136 092,c6:95:5a:3c:9e:7c,150.145.194.22,RO27VGYF7491677720538530,2025-05-08 08:59:39,12168,771,24,1286196,ee88e9b3-c320-4bbe-8daf-0566b99b5530
Dana Florea,danaflorea,danaflorea@post.ro,8300228404771,2017-03-02,"Bulevardul Roza Ardelean Nr. 416 Bl. 95  Sc. 94 Ap. 813, Sighisoara, 489119",0722 061 241,7d:67:62:82:e0:1b,214.255.39.154,RO68RLSW8062132519537555,2024-10-15 09:19:50,5889,937,769,1716710,9f9b9233-f6d5-4960-a82b-cdadfd6594aa
Ioanina Voinea,ioaninavoinea,ioaninavoinea@post.ro,7641024270410,1979-12-19,"Soseaua Ene Nr. 214, Busteni, 730802",0759 988 494,52:a6:62:b2:70:5a,103.187.179.0,RO21JGQU6485760074644186,2024-08-10 05:55:16,28668,961,416,616913,f62dfd90-b95f-4ef2-b277-1f92b2630057
Robertina Florea,robertinaflorea,robertinaflorea@141.ro,7960724050425,1950-05-27,"Intrarea Eftimie, Caracal, 584898",0736 941 312,8d:16:df:18:59:ca,83.230.176.97,RO69OLAI0676445382383392,2024-09-02 08:09:13,8503,362,521,371035,63ef1e5c-3e6c-490a-95f4-c30cd73733a0
Fabian Ene,fabianene,fabianene@zzup.ro,6940603015931,1931-05-04,"Intrarea Barbu, Tufesti, 321997",0258 862 564,b8:0f:12:70:92:d2,39.139.53.198,RO59NQXB3283048706820947,2024-05-11 14:24:41,17516,65,578,1086612,d92c545a-5689-4b24-86ab-0d8ae33ce1b9
Anica Dinu,anicadinu,anicadinu@zzup.ro,7370221375901,1972-01-31,"Bulevardul Diaconescu Nr. 542, Slatina, 710610",0749 092 720,6e:c5:f8:5b:2b:9b,30.32.70.65,RO24FICH7371796092919064,2024-07-12 05:15:23,30659,13,757,219344,3a2e2b3e-1e38-46b2-90e2-8de20bf7ee30
Lidia Diaconescu,lidiadiaconescu,lidiadiaconescu@kappa.ro,5301028072533,1950-07-09,"Intrarea Emanoil Florea Nr. 49 Bl. 59  Sc. 17 Ap. 328, Horodnic de Sus, 596374",0723 509 378,a5:b0:61:5e:2b:d0,212.144.88.78,RO15BYXO0257494714967045,2025-03-12 07:40:18,9249,67,204,1721517,773d77b1-46c7-4829-b1e2-856960fbc13f
Rebeca Florea,rebecaflorea,rebecaflorea@acasa.ro,4690701448050,1919-09-29,"Strada Speranța Preda Nr. 334 Bl. 44  Sc. 29 Ap. 238, Cumpana, 261340",0240 297 991,ef:f2:28:b0:03:69,201.150.1.184,RO59CROQ5815908636447462,2024-09-09 20:43:45,32310,535,431,1225003,d965c351-9cd7-4609-8a12-bed2b9d54972
Anișoara Niță,anișoaraniță,anișoaraniță@zzup.ro,8181215249869,2017-01-26,"Bulevardul Agata Tudor Nr. 203 Bl. 13  Sc. 25 Ap. 825, Resita, 687809",0750 657 715,fa:ff:06:39:68:5c,15.100.170.5,RO73EYCM1708838916362373,2025-01-30 02:17:18,6600,62,28,1478485,d8dbf5ce-63c6-4ec4-8286-b707c3935c40
Liviu Eftimie,liviueftimie,liviueftimie@gmail.com,8230611295110,1986-11-22,"Strada Ababei Nr. 59 Bl. 46  Sc. 64 Ap. 854, Dragalina, 470086",0749 620 791,46:84:17:2d:cd:37,85.126.97.131,RO65ILHN4847656791581453,2024-09-27 05:35:43,22824,53,159,1269719,8e20f9fd-fed2-4b30-ba92-50870d8e4a0c
Leordean Dumitrescu,leordeandumitrescu,leordeandumitrescu@zzup.ro,2560904519152,1998-06-10,"Aleea Ilinca Nistor, Tulcea, 878804",0261 174 657,17:fa:c0:5b:55:1f,170.106.237.8,RO05NKDK6838949743264899,2024-12-13 00:54:27,1513,260,655,1716150,bd835db8-f60c-454d-b9f7-0a48dd2292e5
Maia Barbu,maiabarbu,maiabarbu@post.ro,4510625349732,1937-01-23,"Strada Suciu Nr. 49, Bacau, 849819",021 407 1879,a9:59:e3:c1:e1:5c,67.148.118.48,RO69LJJU3953056901672555,2024-06-26 01:47:51,9366,868,80,1055710,93cf2dac-d1f6-472b-b888-3e1f8d8f1e20
Petre Nemeș,petrenemeș,petrenemeș@zzup.ro,3811024364387,2023-12-05,"Bulevardul Eftimie, Miercurea-Ciuc, 580651",0724 612 083,b2:8a:c2:ae:b2:c6,130.90.222.85,RO12PCOG2259245956529559,2025-01-30 08:13:51,13641,938,517,546896,de7cefe0-cec8-437e-ba22-56210bf2a3a2
Traian Florea,traianflorea,traianflorea@kappa.ro,4331016155776,1923-04-20,"Bulevardul Pușcașu Nr. 465, Baraolt, 287241",0770 704 210,68:11:50:72:b8:1c,200.241.236.10,RO05GOPU2439588865562737,2024-07-17 16:41:06,11747,63,490,941320,5e112a15-1e88-414a-b96f-68915a78c4cf
Voichița Ioniță,voichițaioniță,voichițaioniță@acasa.ro,5160819525852,1958-07-09,"Strada Dima, Murfatlar, 379833",0264 987 216,c7:3b:f3:4a:b8:e8,73.217.4.220,RO80WHUY9071766029345247,2024-06-10 01:18:02,8144,552,624,91290,c2ac59cc-0652-4b28-90e9-04ac0d9cadef
Grigore Dima,grigoredima,grigoredima@kappa.ro,3660731261264,1910-01-07,"Soseaua Diaconu Nr. 308 Bl. 67  Sc. 76 Ap. 594, Arad, 906737",0253 822 910,c9:a6:62:cb:66:69,155.105.16.253,RO45WXZL0820095182005056,2024-07-02 14:39:16,30720,880,628,1304411,de500b8b-df42-4b6b-9aab-7651c57be824
Daniel Voinea,danielvoinea,danielvoinea@post.ro,1910328461339,1969-07-07,"Strada Dima Nr. 650, Dragalina, 630636",0741 044 773,79:d9:19:96:f9:4c,171.125.69.203,RO46LOOL8283472859565621,2025-01-03 16:02:08,10645,73,778,1069169,8fe3c993-1384-43a8-a3d2-7f6249eaac27
Eustațiu Aanei,eustațiuaanei,eustațiuaanei@141.ro,6540229431510,1991-08-20,"Drumul Rozalia Florea Nr. 459 Bl. 35  Sc. 91 Ap. 623, Slobozia, 845251",0734 464 165,e9:08:4a:81:0f:3d,137.124.75.172,RO86HPDU9871099906028561,2024-06-01 18:14:54,22571,334,186,1927359,9d0f58ed-a92d-4a6f-bef7-7236ed017892
Oliviu Gheorghiu,oliviugheorghiu,oliviugheorghiu@acasa.ro,3300104204890,1988-03-01,"Drumul Cristina Stan Nr. 121 Bl. 88  Sc. 57 Ap. 152, Podu Iloaiei, 572330",0244 739 541,4c:13:f9:37:9f:f2,36.135.67.106,RO80GRCQ0045720356006029,2025-04-14 09:38:58,6519,314,194,778233,721a3fd5-4795-4877-a6f1-2f4da26bec5a
Nicoară Pop,nicoarăpop,nicoarăpop@acasa.ro,5830916277416,1997-08-01,"Soseaua Romina Niță, Cajvana, 538656",0260 582 661,42:54:ba:12:59:34,167.178.4.236,RO54AYQD9490904423544366,2024-07-22 19:59:35,6270,791,36,1971112,e2749130-eb81-42b3-8c7c-e569794c7dc0
Tiberiu Nistor,tiberiunistor,tiberiunistor@acasa.ro,3060710301116,1965-08-12,"Soseaua Stanca Aanei, Huedin, 878493",0235 891 667,f2:79:f7:0d:77:12,61.157.164.73,RO55OGFR4098911203801810,2024-07-09 22:24:39,32105,765,421,445857,ec571d33-3e47-4b53-890c-c2e42c9d129a
Sabin Pop,sabinpop,sabinpop@zzup.ro,8070519433153,1934-01-29,"Drumul Mazilescu Nr. 98, Vlahita, 501413",0757 490 465,ab:ae:23:ab:7b:87,158.119.240.249,RO15BGTJ0572476007652003,2025-04-17 02:37:28,3306,932,414,1011686,0140f682-ad1d-4dd2-a99c-a31dafdbf068
Ionel Marin,ionelmarin,ionelmarin@141.ro,8660216107383,1988-03-14,"Bulevardul Ionescu Nr. 92 Bl. 77  Sc. 70 Ap. 597, Targu Neamt, 903165",0723 985 068,d0:0e:0c:e1:92:8b,49.172.142.71,RO49VPQP8390506474650769,2025-01-16 00:40:16,9910,343,436,1849451,e4fc9d8a-704c-472d-962b-b0b24f2bbe29
Lucențiu Tudor,lucențiutudor,lucențiutudor@141.ro,5001123326547,2014-08-11,"Strada Lucrețiu Tabacu Nr. 852, Salonta, 587904",0728 425 673,38:43:0b:84:f0:f3,21.197.18.12,RO87LOLU2833602758125941,2024-05-19 21:05:19,10209,806,105,1966741,5425e32f-ea7e-4ed2-bfae-420deb554d0d
Cerasela Pop,ceraselapop,ceraselapop@zzup.ro,4481103241730,1968-06-18,"Aleea Pop Nr. 264 Bl. 45  Sc. 98 Ap. 374, Anina, 284889",0266 756 618,8f:2d:71:f1:ed:fc,160.247.161.203,RO63GYIY7545586738039196,2024-07-25 03:22:22,18315,713,554,1833352,08208e40-9ce6-4657-9e7a-bda9feac6a99
Anamaria Nistor,anamarianistor,anamarianistor@post.ro,8610428463436,1947-07-29,"Strada Demetra Barbu, Zalau, 823453",0728 369 156,19:3a:72:31:9f:3d,114.93.195.228,RO38LPNV7315547256371406,2024-12-15 07:38:18,9920,751,611,581083,81cac0af-ff1d-4caf-93e2-3cd525b0a9dd
Dragoș Diaconescu,dragoșdiaconescu,dragoșdiaconescu@email.ro,6960618468409,1946-05-07,"Aleea Tomescu Nr. 35 Bl. 16  Sc. 82 Ap. 516, Homocea, 456713",0245 834 833,e1:fb:b4:a7:bc:b3,54.177.125.101,RO73QDRB1840690694015560,2025-04-20 04:27:48,20394,756,442,105891,376d2faf-9905-41f3-9a04-558d6364eba2
Albert Niță,albertniță,albertniță@gmail.com,7610816447481,1991-08-30,"Soseaua Dinu Nr. 262, Valenii de Munte, 946487",0246 978 671,42:87:e4:37:33:10,157.150.133.33,RO62TJXM9149006810945223,2024-10-13 20:20:47,16028,982,557,1674101,37b41efe-731e-40d1-abb0-800db9f42bd1
Albertina Eftimie,albertinaeftimie,albertinaeftimie@zzup.ro,5780409171911,1944-06-07,"Drumul Dobre Nr. 70, Borsa, 435258",0736 351 415,d4:6e:92:68:64:a4,62.32.61.40,RO59DRFL1495384246242135,2024-07-04 15:54:31,33472,169,244,1427835,26e3c3ed-d116-4bbc-a69b-58f3950bd8ec
Viorica Diaconescu,vioricadiaconescu,vioricadiaconescu@kappa.ro,3661006083899,1978-03-10,"Drumul Nistor Nr. 19, Motru, 371775",0740 696 464,fa:eb:1b:86:f4:f0,13.211.102.129,RO91SFWQ1880407433430496,2024-06-17 16:08:22,19807,233,112,771700,844b6a17-f383-498b-ad5e-7401f7db160d
Norica Pușcașu,noricapușcașu,noricapușcașu@acasa.ro,7180226261831,1996-09-05,"Aleea Dobre Nr. 908 Bl. 14  Sc. 87 Ap. 222, Dej, 140201",0247 240 030,8e:79:8e:00:4f:7f,53.184.210.204,RO74KSKO1959622887613076,2024-06-11 12:45:15,7943,311,745,1566982,6dc6e704-7d54-4f63-b3fd-a3faeeb7aed4
Octav Manole,octavmanole,octavmanole@141.ro,3331128087825,2016-05-14,"Aleea Diaconescu Nr. 10 Bl. 45  Sc. 80 Ap. 973, Comanesti, 113659",0784 682 107,5f:5f:80:e7:db:1e,199.235.36.107,RO81QCZH2042157220195081,2024-09-18 05:51:25,25319,601,696,963761,717107e5-fb77-4680-89ff-2a7925d9016e
Iridenta Dumitrescu,iridentadumitrescu,iridentadumitrescu@acasa.ro,7350626275052,1954-12-07,"Aleea Stan, Cugir, 193888",0259 794 884,d2:4c:c3:67:a2:a2,157.71.249.101,RO12XUWP1717578036152039,2025-02-20 01:36:37,26984,518,565,335558,ec2115e2-a250-486d-b458-c71a93b54009
Zina Tomescu,zinatomescu,zinatomescu@kappa.ro,3920606126091,2022-04-09,"Intrarea Aanei Nr. 85 Bl. 61  Sc. 99 Ap. 430, Pascani, 630157",0269 131 118,36:e8:d2:9f:1c:8a,9.226.167.246,RO55TGER1934363189155991,2024-07-06 08:49:22,25245,318,157,1434079,16fd8446-34f5-4973-a2ed-9b0e7b93b204
Romeo Stoica,romeostoica,romeostoica@acasa.ro,4650820211566,1914-08-15,"Bulevardul Sânziana Ioniță, Ovidiu, 980306",0255 623 355,be:bd:fd:0d:72:83,183.33.50.47,RO82ARJL6731389759104135,2024-10-21 04:53:25,9977,155,522,467207,1852e631-6ab6-48d5-b870-187eca48b1cf
Marcel Ene,marcelene,marcelene@kappa.ro,5940303097517,1965-11-14,"Drumul Albu Nr. 990, Roseti, 473979",0731 743 069,09:f1:26:ac:ae:04,2.197.205.125,RO80KPIG3517250643924670,2025-03-28 20:01:25,8633,192,291,483174,954444fa-d998-48a0-b511-1471c0bc3faa
Dariana Nistor,dariananistor,dariananistor@gmail.com,8600620216222,2012-11-24,"Bulevardul Dochioiu Nr. 332, Macin, 966202",0731 371 763,71:ad:ae:91:79:48,190.34.109.112,RO26NODM4348431715413569,2024-06-24 04:46:09,26896,458,359,744877,9aa06e74-1e07-4038-b49d-1f978089e8b9
Nae Ioniță,naeioniță,naeioniță@kappa.ro,8760525465600,1924-01-08,"Bulevardul Toma Nr. 58, Tomesti, 479407",0739 412 457,73:c5:6c:23:a1:69,91.203.22.0,RO04KTNN8725820421228743,2024-10-11 11:35:49,30256,460,216,878399,d55bb18c-5591-436d-bffe-fa00748b49e5
Sabrina Gheorghiu,sabrinagheorghiu,sabrinagheorghiu@gmail.com,4200818261984,1980-12-18,"Drumul Grațiela Aanei Nr. 949 Bl. 80  Sc. 34 Ap. 762, Macin, 479080",0231 651 937,8a:e9:dc:cb:4f:b6,71.106.244.148,RO43ESFC9024833228680227,2024-09-24 13:10:21,6619,157,734,1045659,8545ecdb-cb21-4fb1-88ae-c9c87a059bd1
Aneta Tabacu,anetatabacu,anetatabacu@kappa.ro,1670305297739,1968-01-16,"Intrarea Cristea Nr. 664 Bl. 67  Sc. 29 Ap. 468, Baia, 670637",0262 789 800,99:2b:bc:f4:e0:bb,145.93.88.81,RO38OYDZ4423124378352210,2025-04-08 14:59:44,13292,436,654,1991732,e191ac42-f966-4dfb-be5c-54b89ba0e9a0
Leopoldina Barbu,leopoldinabarbu,leopoldinabarbu@gmail.com,3500206239754,1978-02-02,"Drumul Ene Nr. 76, Iasi, 882084",0241 431 261,0e:ae:c0:83:15:fb,221.255.217.190,RO77NKIH2684732216176237,2024-09-27 11:19:44,6948,390,160,1418088,8b368798-e873-4a28-8977-76c49bd71b14
Panagachie Barbu,panagachiebarbu,panagachiebarbu@email.ro,8250127317903,1970-02-19,"Bulevardul Ene, Curtici, 560531",0743 568 490,10:3c:d3:48:15:bf,150.124.225.76,RO91ZDQM9717394719467940,2024-12-31 03:04:07,4259,643,291,518647,0f81958c-34b0-4217-8a5c-12eca67da33b
Cezara Ioniță,cezaraioniță,cezaraioniță@gmail.com,7120328113189,2003-01-20,"Bulevardul Cristea Dumitrescu Nr. 32, Sacueni, 378039",0762 415 287,e8:9f:4b:1d:ab:08,105.66.52.246,RO87UXPW8487082840171431,2024-12-07 12:27:26,24502,229,417,1473633,34fd8986-9010-42d1-b03e-25cad62829fb
Florentin Barbu,florentinbarbu,florentinbarbu@141.ro,4820702366241,1911-11-24,"Aleea Tabacu Nr. 504, Simleu Silvaniei, 233086",0268 537 552,7d:de:35:21:92:e7,209.219.242.120,RO23ELLL7185441529986192,2025-04-08 11:38:00,20072,73,663,152348,70db951a-d742-4f2c-ae43-13896e212cc2
Milena Ababei,milenaababei,milenaababei@post.ro,2330325074011,1916-11-11,"Strada Albertina Florea, Floresti, 457594",0724 465 411,31:c3:66:93:ff:29,149.248.106.164,RO84BBPH6990918504863210,2024-12-07 03:54:11,20177,130,333,856492,e6341917-0ed6-4041-aefb-6cf3b78e0523
Mitruț Preda,mitruțpreda,mitruțpreda@acasa.ro,4960910311320,1935-02-23,"Intrarea Dochioiu Nr. 384 Bl. 96  Sc. 43 Ap. 626, Campia Turzii, 430971",0242 606 968,78:1c:d4:02:c7:ba,21.75.64.168,RO65MCZA6848224735362631,2024-07-04 13:10:34,16920,105,663,1087730,6f678ce7-5c9d-4ce2-ad84-4f3cb395de2e
Relu Florea,reluflorea,reluflorea@141.ro,5340830384890,1925-09-05,"Intrarea Ene Nr. 649 Bl. 90  Sc. 30 Ap. 890, Pecica, 550443",0240 700 196,0c:e5:9d:2b:1b:59,200.147.69.155,RO49SAAM8881323468783114,2024-07-22 09:42:17,21958,331,138,1254874,2755ac76-f4d2-4e9f-b004-90b6d88367b0
Grigore Ene,grigoreene,grigoreene@141.ro,6360214451683,1971-09-04,"Strada Gheorghiu, Suceava, 841369",0243 276 395,8c:74:fa:46:d9:44,115.58.53.192,RO43JYSL6549854785615420,2024-05-29 20:53:12,34527,946,547,1794737,9dfeb4d9-e1b4-4fca-980e-5b65eceab00e
Andrada Stancu,andradastancu,andradastancu@acasa.ro,7531104060631,1937-12-27,"Drumul Dochioiu Nr. 820, Alba Iulia, 547598",0786 467 092,d3:a7:55:cf:66:30,68.229.212.2,RO09DXGU0296552760244480,2024-10-19 22:28:06,11314,109,251,1486861,ce109ba7-b7a6-4677-9156-f4dbe6f3e2f1
Cezara Diaconu,cezaradiaconu,cezaradiaconu@kappa.ro,2710412523873,1965-08-19,"Strada Stănescu Nr. 79 Bl. 52  Sc. 21 Ap. 555, Baia Mare, 169629",0769 278 624,74:15:e4:a9:e1:9a,188.126.174.231,RO62VJCL5040690733114235,2024-10-31 07:23:27,27268,640,538,613367,4b92c7d8-fb5b-4dee-a797-4e47cf250707
Sorana Tudor,soranatudor,soranatudor@141.ro,1820830076787,1923-01-30,"Strada Zenobia Stoica, Mizil, 982848",0765 091 007,fb:57:5c:fa:45:81,41.218.133.104,RO22OETU9233921193366497,2024-09-29 22:29:40,4722,127,400,1708303,94d5e323-c3b6-45d9-af33-4dfb643a77a4
Irina Nistor,irinanistor,irinanistor@141.ro,5281026122703,1924-12-08,"Strada Popescu, Beclean, 896153",021 208 0778,3a:bd:9a:fa:13:30,79.142.124.169,RO15ZYBL0401892028340050,2025-02-28 18:16:34,20684,348,263,397714,6b8aaf94-37a6-4616-8043-4df6e8ac17ab
Petruța Pop,petruțapop,petruțapop@kappa.ro,5240620155518,1928-06-20,"Strada Tudor Nr. 62 Bl. 34  Sc. 31 Ap. 217, Falticeni, 272820",0236 114 509,88:f2:01:53:95:94,212.123.10.102,RO26GDFA2007269826653984,2024-07-18 16:43:32,29042,237,562,1363199,061aab25-ac6d-403a-8ac3-59eafcc0c4b7
Georgia Ioniță,georgiaioniță,georgiaioniță@zzup.ro,7000129236848,1910-06-12,"Intrarea Florea Nr. 343, Dancu, 225850",0725 257 831,a6:31:10:37:56:23,82.243.74.170,RO30GYVI5445271607294478,2024-05-19 13:30:38,8438,146,14,1382694,4fdbb352-ce73-49fb-ae4d-100f3fae1bf9
Eftimia Cristea,eftimiacristea,eftimiacristea@kappa.ro,7410109220789,2014-08-18,"Strada Tomescu, Constanta, 250592",0242 542 482,7b:39:b0:cb:ea:2a,169.173.49.25,RO98UDDB7497100518281824,2024-06-30 06:35:28,22790,658,447,432641,13b8fc45-93a1-48d8-b7d2-1f890a29752f
Nechifor Diaconu,nechifordiaconu,nechifordiaconu@kappa.ro,4170903014736,1927-02-04,"Soseaua Alexandrina Dobre Nr. 42, Cugir, 832010",0239 904 872,01:64:75:25:f3:0f,170.126.237.206,RO07WSEN8393425956046968,2024-10-30 14:55:41,25822,939,43,1278264,ad052545-35fd-4a8a-a30f-f440cbee7b47
Antonela Ioniță,antonelaioniță,antonelaioniță@post.ro,1301216047265,1976-12-23,"Soseaua Suciu Nr. 405, Paunesti, 294429",0750 280 235,f9:87:a6:ec:a8:f6,39.128.192.244,RO37ITQZ9589999723512158,2025-03-30 07:10:30,3078,698,527,1800699,2c6cd10d-b679-4738-a167-a32df128b9a7
Carolina Florea,carolinaflorea,carolinaflorea@acasa.ro,4310614064821,2016-12-31,"Intrarea Florea, Valea lui Mihai, 427639",0757 334 181,02:a3:0c:59:c7:39,1.234.59.18,RO13SVFO3210214864253997,2024-08-27 23:14:33,5630,706,743,337125,7648ccf8-381b-4def-b978-61c55d880195
Vladimir Ioniță,vladimirioniță,vladimirioniță@zzup.ro,2010603250665,1919-07-24,"Strada Ariadna Barbu, Vatra Dornei, 931245",0786 037 596,fc:70:f3:99:8e:42,49.35.243.215,RO03GKHI0700382707668464,2025-03-23 03:44:40,9950,826,260,1689865,7d5e2d05-2c38-49ca-9605-de1a6d62e342
Luminița Pop,luminițapop,luminițapop@141.ro,7040417441100,1912-02-03,"Aleea Ruxanda Stancu, Corabia, 702743",0788 952 037,2b:7a:4a:64:1c:17,100.193.142.215,RO42MWVW2727125974118504,2024-10-21 10:00:18,2780,400,166,781507,0e54d52c-a070-4034-9ee1-46c442e6bc65
Daciana Dumitrescu,dacianadumitrescu,dacianadumitrescu@141.ro,2271003270281,1994-04-10,"Aleea Stancu, Babadag, 959480",0231 593 820,57:c3:fd:fd:17:56,178.194.78.183,RO46EBQL1202271901379043,2024-08-15 21:13:25,26589,593,135,1323852,5c36e83b-2eb6-428f-a674-4f0141d49220
Rebeca Suciu,rebecasuciu,rebecasuciu@gmail.com,7100220306192,2010-09-08,"Strada Gheorghiu, Beius, 985698",0267 131 261,05:03:bb:dd:e1:90,85.190.7.233,RO26QNZO9726273950889676,2025-03-09 08:39:39,35120,559,373,515154,ddfe0750-2251-4c03-abf4-e5817e0372da
George Ababei,georgeababei,georgeababei@141.ro,8810531320317,1989-07-31,"Strada Cristea, Darabani, 958458",0268 423 823,45:28:54:cf:9b:a2,150.137.172.129,RO77QGET6910286335036372,2024-05-09 16:00:55,30368,395,317,13395,e119e916-6e9a-450d-bcbb-ced7f894aafa
Nae Dobre,naedobre,naedobre@kappa.ro,5521015277684,1913-05-19,"Drumul Sânziana Cristea Nr. 27 Bl. 99  Sc. 59 Ap. 660, Dorohoi, 325945",0729 508 599,fd:6c:0c:d1:c8:bc,166.35.196.40,RO76RQVL5806846765177411,2024-10-25 17:33:16,6447,230,631,710682,62d5d6d0-6280-45bc-a0a3-466409dc2486
Dana Pușcașu,danapușcașu,danapușcașu@kappa.ro,1000619440298,1918-06-12,"Aleea Octavian Diaconescu Nr. 56 Bl. 80  Sc. 21 Ap. 825, Tufesti, 912991",0233 602 452,a2:48:33:2b:47:80,82.7.22.83,RO32QFNP4726426134705677,2025-01-27 05:15:10,20985,538,650,44688,e1315712-f524-4b86-bdc3-3e31dde205c3
Adonis Preda,adonispreda,adonispreda@gmail.com,7030428123528,1933-04-03,"Intrarea Dima Nr. 518 Bl. 87  Sc. 88 Ap. 916, Nasaud, 883699",0738 961 270,b2:e0:1e:72:df:b0,177.238.4.127,RO61SYMS7701403754853096,2025-01-04 22:14:48,8568,782,348,1106010,4e133c1d-eedd-4eed-b903-ea84df5f4eb2
Georgian Ioniță,georgianioniță,georgianioniță@acasa.ro,7690531429888,1962-08-31,"Bulevardul Diaconescu, Victoria, 189263",0735 748 560,2e:35:41:72:ce:cc,122.224.205.239,RO55NJBI1934250790703470,2024-09-11 09:37:37,34470,862,539,1761799,51470b69-b4e8-439f-a4f7-9ff828fa090f
Catinca Albu,catincaalbu,catincaalbu@post.ro,6470531096884,1950-02-03,"Soseaua Niță Nr. 401 Bl. 46  Sc. 88 Ap. 222, Cudalbi, 193594",0260 005 256,f3:9e:b2:f4:9d:fa,38.33.184.118,RO16MWLS5037657569661907,2024-08-12 09:47:57,4312,956,60,491674,65594661-e96e-4e71-bd25-679cde388f4a
Fiodor Diaconescu,fiodordiaconescu,fiodordiaconescu@email.ro,5371121184645,2025-02-02,"Drumul Mazilescu, Tomesti, 803391",0741 425 098,1a:72:a9:92:f8:62,219.210.58.192,RO84KCIR4858939862329702,2025-01-02 20:34:32,28916,133,635,1282113,9806ee2d-97da-4f82-b724-96d2e0e8029d
Carina Cristea,carinacristea,carinacristea@zzup.ro,8690511383772,1926-02-27,"Strada Anișoara Ene, Cristuru Secuiesc, 731533",0256 912 680,54:40:19:22:8e:d9,214.124.66.253,RO59XKNH8211406769298704,2025-03-06 20:11:49,30935,874,410,730690,5d97f93a-b283-4ecb-b91d-5112cea4df5c
Maria Georgescu,mariageorgescu,mariageorgescu@post.ro,8810205290317,1977-01-30,"Soseaua Toma Nr. 65, Beclean, 168263",0756 836 364,55:de:ce:a9:de:6b,54.15.255.176,RO19KPGZ3025646906149505,2025-01-21 18:47:36,13927,852,332,441117,88d452c0-a892-4d3b-a47f-317c19bc95f0
