person_name,user_name,email,personal_number,birth_date,address,phone_number,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Grațian Preda,grațianpreda,grațianpreda@email.ro,7931009414185,1938-10-31,"Aleea Mocanu Nr. 389, Arbore, 755348",0257 269 610,90:fd:99:8c:76:52,176.136.193.178,RO92XKPS0272802654898793,2025-04-04 17:16:32,9135,290,571,1071322,0657bcc4-ca59-454c-aa77-b23655bdc3d6
Alin Ene,alinene,alinene@email.ro,6820328348691,1995-01-14,"Intrarea Adonis Ionescu Nr. 45 Bl. 26  Sc. 60 Ap. 636, Chisineu-Cris, 311335",0261 518 433,00:d0:8d:c1:bc:bc,86.139.236.203,RO49BXAS6811974691396665,2025-04-04 17:16:32,11644,240,280,934382,74616c87-6cc7-4e7e-a509-c7ebc2f7e91b
Lelia Popa,leliapopa,leliapopa@zzup.ro,1720627113256,2021-01-18,"Strada Zenobia Voinea Nr. 281 Bl. 74  Sc. 22 Ap. 375, Modelu, 815193",0784 713 646,4c:c2:03:b1:74:9a,161.51.248.48,RO76QCLB7505115655181333,2025-04-04 17:16:32,6798,124,262,1666044,92ef6a51-de3c-4d38-b9e9-c5fed6450dd8
Lavinia Nemeș,lavinianemeș,lavinianemeș@post.ro,3270629248970,1927-03-13,"Bulevardul Tabacu Nr. 659, Sandominic, 930950",0258 493 292,a0:45:da:cb:d4:65,106.254.103.189,RO12BEGZ2004474597200477,2025-04-04 17:16:32,17336,402,69,156930,a45705b4-2668-4e99-882a-1922a6c5e091
Betina Preda,betinapreda,betinapreda@post.ro,6650101402519,1991-09-11,"Bulevardul Stoica Nr. 28 Bl. 87  Sc. 75 Ap. 241, Copsa Mica, 566572",0723 528 206,04:a2:58:68:20:4d,210.99.194.192,RO77ATWY0246579643999606,2025-04-04 17:16:32,4855,745,537,893218,106b9a35-27f2-4483-bd4e-f535e70b6b5d
Veronica Georgescu,veronicageorgescu,veronicageorgescu@post.ro,5981017044901,1928-06-01,"Strada Albu Nr. 163, Gherla, 514986",0772 093 684,e0:0f:2e:ba:0d:2b,18.149.80.55,RO03MFQF3257041483714414,2025-04-04 17:16:32,1854,503,256,708817,6b7295af-7436-4bff-bf96-5a9dd55963bf
Henrieta Dumitrescu,henrietadumitrescu,henrietadumitrescu@gmail.com,1390210220204,1911-05-29,"Bulevardul Ioniță Nr. 33 Bl. 88  Sc. 19 Ap. 934, Sfantu Gheorghe, 496631",0756 810 322,a2:ac:8b:88:b0:30,26.5.124.175,RO04KKPP5387971203971087,2025-04-04 17:16:32,29230,877,551,275462,9d5f4270-a34b-4726-8ec1-52f6c4e02599
Ianis Popa,ianispopa,ianispopa@kappa.ro,5870331309622,1935-06-03,"Bulevardul Heracleea Cristea, Breaza de Sus, 108376",0268 670 320,ac:16:1e:42:3a:9a,92.108.128.210,RO55YPGE3267153546508735,2025-04-04 17:16:32,18074,851,556,490110,fcfcdd2d-c07b-47c1-9013-1a9cbcfb6723
Zoe Georgescu,zoegeorgescu,zoegeorgescu@zzup.ro,2071214070391,2000-05-08,"Aleea Ababei Nr. 777, Rosiori de Vede, 308524",0734 388 854,58:09:37:23:49:d8,181.170.247.45,RO94DOMM4609760006301553,2025-04-04 17:16:32,12356,126,25,996999,a69d50f6-b2fb-4b09-9617-bd3c063b956a
Crina Mocanu,crinamocanu,crinamocanu@kappa.ro,5661131213168,1953-01-28,"Intrarea Marcela Diaconu Nr. 169 Bl. 81  Sc. 57 Ap. 262, Craiova, 427918",0747 698 030,dc:84:3c:f0:fd:10,192.77.55.221,RO06HYIH2001581317753005,2025-04-04 17:16:32,28256,996,362,1317891,f0210385-c80a-449f-8ed7-7f7ca33fb241
Paulica Florea,paulicaflorea,paulicaflorea@email.ro,1460830468551,1932-08-19,"Drumul Nistor, Tufesti, 109377",0739 934 791,38:f0:88:21:12:e1,189.18.146.36,RO28UYWK6671074011916302,2025-04-04 17:16:32,19760,796,399,320196,e4c7ad71-a98e-466a-a187-39ce99383974
Florența Eftimie,florențaeftimie,florențaeftimie@email.ro,7040622045715,1921-04-16,"Bulevardul Eftimie, Darmanesti, 260715",0253 463 739,84:9e:07:b3:f4:eb,110.63.140.104,RO16GTWC5786834287002725,2025-04-04 17:16:32,17561,471,556,1966834,427b4375-7234-4ca6-bb6f-7636014b655d
Mirona Ene,mironaene,mironaene@acasa.ro,7010218128456,1986-12-30,"Bulevardul Dochioiu Nr. 81 Bl. 48  Sc. 42 Ap. 571, Dumbravita, 905120",0261 589 696,02:3b:24:c5:9f:cc,41.173.17.220,RO74BWQJ9968951516009115,2025-04-04 17:16:32,6073,548,800,52710,ccbbe63e-3f29-4330-a698-7a8f686870f3
Nicuță Dinu,nicuțădinu,nicuțădinu@post.ro,6800518181061,1962-05-28,"Drumul Florea Nr. 727, Simeria, 808881",0739 763 408,ea:30:8f:20:f0:e3,143.10.151.59,RO02JUVN2726340570329970,2025-04-04 17:16:32,28130,328,129,661414,f57accc8-e8df-4ee6-9405-e29797932cd4
Vladimir Pușcașu,vladimirpușcașu,vladimirpușcașu@gmail.com,3120913118618,1931-03-06,"Intrarea Pop Nr. 28, Amara, 859058",0754 734 829,24:89:73:fe:9a:80,179.117.229.34,RO52FYHL8871282070565374,2025-04-04 17:16:32,17948,978,616,376103,850dadc3-8cc3-4ed3-8a39-d4a2dc59dfde
Răzvan Dochioiu,răzvandochioiu,răzvandochioiu@post.ro,2401023350843,1988-10-11,"Drumul Diaconescu Nr. 592, Tufesti, 236448",0726 653 864,92:8c:2d:2f:bf:30,118.47.16.138,RO37TWYF9780192236138448,2025-04-04 17:16:32,27925,163,246,388337,d7212ba4-0c45-4fc2-8a7f-9ff418658912
Florentin Mazilescu,florentinmazilescu,florentinmazilescu@post.ro,2260509409986,2016-09-29,"Bulevardul Eusebiu Ene Nr. 92, Pipera (Voluntari), 992104",0266 521 356,a8:93:4b:16:22:3f,12.212.164.12,RO61RMMJ7924620674621101,2025-04-04 17:16:32,31886,904,733,1436051,97727f6e-e68b-4222-bbae-e88449cafd83
Mălina Georgescu,mălinageorgescu,mălinageorgescu@zzup.ro,6320426231300,1973-10-12,"Bulevardul Toma Nr. 669 Bl. 16  Sc. 53 Ap. 846, Baia Mare, 482619",0762 152 960,88:3a:50:fb:aa:b6,116.47.102.100,RO74AJHQ0343422696647034,2025-04-04 17:16:32,31236,255,180,38695,fcdb8709-e712-4caf-bcad-101e71fd5e7e
Sabina Dumitrescu,sabinadumitrescu,sabinadumitrescu@zzup.ro,7681231391435,1932-09-03,"Strada Iurie Albu, Medgidia, 446027",0736 522 608,0c:ac:1a:59:82:c5,196.87.168.29,RO98DABT4185947093010767,2025-04-04 17:16:32,1013,313,77,1026826,8c43b877-a026-4367-9c5d-33a8a8695082
Severina Nistor,severinanistor,severinanistor@post.ro,6860310029211,2006-04-20,"Aleea Dochioiu Nr. 35, Balan, 345463",0739 141 798,60:a3:14:5a:75:23,51.111.173.161,RO22XPDI0747440534501100,2025-04-04 17:16:32,35895,979,745,430758,fb5450e6-224b-4a08-8947-859d0ad204aa
Florentin Ionescu,florentinionescu,florentinionescu@post.ro,7030409335837,1978-08-15,"Strada Dumitrescu Nr. 78 Bl. 18  Sc. 36 Ap. 625, Toplita, 895576",0788 316 639,b0:52:59:75:35:e6,78.142.63.126,RO82AWGP3792394056682867,2025-04-04 17:16:32,27340,869,362,1303866,d31172ea-152b-4f67-b837-772e35a21db2
Sorina Dochioiu,sorinadochioiu,sorinadochioiu@zzup.ro,1700808075892,1925-10-02,"Strada Mazilescu, Cobadin, 450990",0234 928 726,c8:be:16:47:43:46,159.21.87.61,RO88IMHV5395312999408994,2025-04-04 17:16:32,33024,967,469,1754929,29b664bb-d181-4933-a8b6-3800b274ee0f
Bartolomeu Nistor,bartolomeunistor,bartolomeunistor@post.ro,7640410161354,1952-08-21,"Soseaua Daiana Dumitrescu Nr. 497, Toflea, 892532",0247 868 466,f8:86:37:45:6d:2d,129.51.161.195,RO87HTRG0514517805943048,2025-04-04 17:16:32,11022,903,308,834376,50d89374-769e-4de7-817f-7a980db6ebf5
Demetra Eftimie,demetraeftimie,demetraeftimie@email.ro,2900430221016,1951-12-08,"Drumul Sandu Albu Nr. 38, Focsani, 821994",0731 418 136,60:86:fc:f4:72:78,140.20.160.52,RO50GNXF7644270960020185,2025-04-04 17:16:32,27249,117,313,223510,aafd7405-6aa8-4d07-901a-3791e96a77ed
Steliana Eftimie,stelianaeftimie,stelianaeftimie@gmail.com,3220410196823,1978-05-10,"Drumul Nistor, Alesd, 348471",0780 720 196,1e:dd:aa:66:3f:5f,138.60.98.139,RO73HTGP0791329309163470,2025-04-04 17:16:32,19320,547,459,1442481,767c57c3-6118-422c-8e34-9b62bab5817c
Relu Tomescu,relutomescu,relutomescu@zzup.ro,4880103402219,1993-09-29,"Soseaua Ardelean Nr. 92, Sannicolau Mare, 614860",0252 893 484,a2:be:0a:9d:43:19,33.214.121.95,RO44BFGL5146698536369755,2025-04-04 17:16:32,1935,157,685,390476,25b61bdc-ca8c-4434-a17b-65a35f0358e0
Panagachie Dobre,panagachiedobre,panagachiedobre@141.ro,7240621401813,1965-03-19,"Aleea Lăcrămioara Nistor Nr. 388 Bl. 52  Sc. 89 Ap. 403, Sighetu Marmatiei, 978220",0733 504 044,92:aa:ab:cc:45:d0,83.144.71.34,RO89QPIA6836251004937601,2025-04-04 17:16:32,3953,247,114,609619,f646c010-f25e-4dd8-bd3e-45f417355245
Zaraza Stoica,zarazastoica,zarazastoica@email.ro,1941114025170,1925-09-16,"Intrarea Ene Nr. 70 Bl. 80  Sc. 96 Ap. 282, Dumbraveni, 406520",0743 141 539,2a:9d:88:9b:3f:5c,26.79.0.46,RO21SDBL7798776464979562,2025-04-04 17:16:32,22392,342,313,526621,9219d01d-1a3c-4df2-8504-e26ed329ea21
Georgel Nistor,georgelnistor,georgelnistor@kappa.ro,7730726150225,1980-04-05,"Drumul Dalia Diaconescu, Toflea, 217726",0726 718 693,96:ac:67:ac:4f:ff,201.89.65.86,RO40AABE6328424975218279,2025-04-04 17:16:32,31498,107,118,721563,12ea6874-cd33-43f7-9e7b-956e9b8c66ba
Măriuca Popescu,măriucapopescu,măriucapopescu@zzup.ro,8501118153806,2013-12-29,"Soseaua Ionescu Nr. 42 Bl. 68  Sc. 11 Ap. 648, Ramnicu Sarat, 686930",0247 411 186,bc:93:5d:f8:f4:52,115.60.73.144,RO53WEQF4008033478841967,2025-04-04 17:16:32,27314,605,788,1790592,24098d70-8506-4bd6-90fe-3f0204638268
Grațiela Diaconu,grațieladiaconu,grațieladiaconu@post.ro,2280129280586,1937-06-10,"Drumul Stănescu Nr. 692 Bl. 29  Sc. 96 Ap. 409, Calafat, 865502",0733 963 554,f4:f2:c2:3a:2c:bb,65.32.51.196,RO02WTAD6649156588636430,2025-04-04 17:16:32,2366,871,414,1371542,0cb4f82f-a28d-437e-ab15-381a637ca54e
Georgeta Stoica,georgetastoica,georgetastoica@acasa.ro,3990905413186,1970-06-23,"Soseaua Ababei, Cugir, 867367",0257 423 195,0c:e6:89:a7:ee:9e,210.193.172.1,RO65IKPK1233244697309639,2025-04-04 17:16:32,10836,800,391,1670990,5169742a-b32b-4e8a-8f66-f1cae8d82217
Ludovic Pușcașu,ludovicpușcașu,ludovicpușcașu@email.ro,4760722453812,1979-10-11,"Intrarea Albu, Gura Humorului, 327472",0241 546 872,74:cb:f7:42:33:fc,58.56.11.60,RO61SONH8575105257002107,2025-04-04 17:16:32,10565,629,397,1179805,51e086e7-345b-4959-b2cc-6bb7def83feb
Marian Preda,marianpreda,marianpreda@141.ro,4541118429660,1939-06-10,"Soseaua Smaranda Ardelean, Fetesti, 612238",0260 985 816,2e:ef:c4:12:b0:79,125.166.201.32,RO88KSKR8884525962879343,2025-04-04 17:16:32,32420,783,166,828185,58bb5695-5bc9-4657-973f-87f491e60b43
Jeana Ioniță,jeanaioniță,jeanaioniță@141.ro,2060615220358,1944-12-16,"Soseaua Suciu, Lipova, 845651",0722 227 546,7a:c5:2a:5f:94:f1,68.179.87.21,RO77PFMY5971547530486329,2025-04-04 17:16:32,3306,436,169,1156750,4beaa2d1-86e4-43c9-9e76-8f036613c0ea
Eugen Voinea,eugenvoinea,eugenvoinea@kappa.ro,4450812191372,1912-11-10,"Soseaua Nistor Nr. 757 Bl. 51  Sc. 25 Ap. 227, Iernut, 756510",0249 300 022,a0:da:a0:05:a8:c8,124.38.127.247,RO64QGHY5448574482936843,2025-04-04 17:16:32,24787,110,772,120910,c9dc7f70-9987-4859-9d54-765a58a6d531
Catinca Nemeș,catincanemeș,catincanemeș@zzup.ro,3951121270231,2021-12-17,"Aleea Pușcașu Nr. 562 Bl. 46  Sc. 28 Ap. 399, Simeria, 797942",0788 180 279,a8:2c:7c:0c:aa:c7,2.104.153.110,RO50JCBK6124656791325128,2025-04-04 17:16:32,16723,289,102,720323,36339a06-94b3-4304-a8d8-5a68382e767d
Claudiu Dinu,claudiudinu,claudiudinu@141.ro,7050929010157,1934-04-18,"Drumul Haralambie Manole Nr. 99, Giroc, 363068",0246 407 179,52:63:d9:84:01:cc,190.203.61.212,RO81SISP6216098375355254,2025-04-04 17:16:32,28665,393,158,1252483,9ae2db71-fe2d-43d9-9e74-e0fc59e7792e
Codin Pop,codinpop,codinpop@zzup.ro,2931014071081,1950-03-21,"Soseaua Pușcașu Nr. 646 Bl. 90  Sc. 23 Ap. 987, Caransebes, 209662",0249 342 838,7e:62:54:46:3e:93,79.93.241.5,RO83QSDY4524932056171561,2025-04-04 17:16:32,4088,831,210,1911831,89416497-4aa1-43b3-8e4f-8e3d2ac23cbc
Vlădelina Eftimie,vlădelinaeftimie,vlădelinaeftimie@141.ro,8820108062179,1931-11-09,"Strada Amanda Albu Nr. 518, Brad, 208593",0742 371 635,f8:80:2d:40:b8:05,1.26.27.180,RO26XRJS7117214342960784,2025-04-04 17:16:32,8723,659,562,1114008,b45443a9-f7ac-432e-b7ee-40afff727cd8
Adriana Popa,adrianapopa,adrianapopa@email.ro,7801101516379,1944-02-13,"Strada Stancu Nr. 738, Dobroesti, 360926",0725 563 742,80:b7:d4:80:b0:98,178.226.92.75,RO10TNAS8380933207446276,2025-04-04 17:16:32,34265,250,469,286536,561c6f72-588a-43c6-bf6a-d24fe4a255ad
Tatiana Pușcașu,tatianapușcașu,tatianapușcașu@gmail.com,4170225106711,1915-07-21,"Aleea Stancu, Suceava, 461596",0245 142 725,26:09:f0:d6:30:28,211.65.57.58,RO51HKET0021333663777102,2025-04-04 17:16:32,19557,573,539,984286,5d1cc224-efea-4846-9e11-4795be384498
Alina Diaconu,alinadiaconu,alinadiaconu@acasa.ro,5041011130948,1956-12-05,"Intrarea Aanei Nr. 410 Bl. 71  Sc. 38 Ap. 943, Mangalia, 445760",0741 395 344,ea:83:53:44:bd:ee,188.253.194.35,RO65XGSN4389430670627119,2025-04-04 17:16:32,7043,311,584,291413,0956c4a6-817a-4d0d-8cce-b196f189e1d8
Didina Stan,didinastan,didinastan@141.ro,6390829512109,1949-08-06,"Soseaua Cristea Nr. 76 Bl. 95  Sc. 95 Ap. 425, Codlea, 225208",0768 436 995,6e:03:cb:b7:72:4f,170.50.163.182,RO53WYOS0846267616224944,2025-04-04 17:16:32,13579,289,257,1731823,c844f5a3-93fc-42c2-9485-236d9891b5b6
Floare Dinu,floaredinu,floaredinu@email.ro,5321109513122,1962-11-14,"Aleea Suciu Nr. 24, Dorohoi, 973241",0727 157 604,1c:95:4c:4b:83:af,57.32.118.212,RO87PGCC3087079270308978,2025-04-04 17:16:32,29067,405,332,1664844,5135cb20-f161-42e0-b06f-59756e91ee5f
Iustina Marin,iustinamarin,iustinamarin@gmail.com,3050304052148,1949-03-07,"Strada Corvin Nistor, Nasaud, 149677",0262 151 204,f8:3f:ad:eb:1b:01,152.29.131.90,RO55TVUI1861051956778758,2025-04-04 17:16:32,33883,706,35,349874,c5e876b3-24c0-422a-a5a9-303581740d20
Ianis Niță,ianisniță,ianisniță@email.ro,8841024238568,1989-05-11,"Soseaua Tudor, Buftea, 766150",0721 379 815,88:ce:9b:05:7d:7a,76.5.240.179,RO95PBEP2665974422268979,2025-04-04 17:16:32,34116,737,586,1852414,3b83df91-16c1-4a6e-8503-46f2769a8bea
Cezar Georgescu,cezargeorgescu,cezargeorgescu@acasa.ro,2720219221630,1955-12-20,"Drumul Iasmina Ioniță Nr. 662, Cluj-Napoca, 648633",0725 791 379,ae:57:df:e2:26:ab,152.213.75.154,RO92CARE2050286125399793,2025-04-04 17:16:32,15636,243,693,144457,615ebc81-f150-4b3e-b8c6-2ac7c153c203
Narcisa Diaconu,narcisadiaconu,narcisadiaconu@kappa.ro,7540211402953,1976-05-26,"Bulevardul Florea Nr. 684, Jilava, 564551",0757 200 489,ee:4c:4e:fd:d3:7d,216.242.1.200,RO74HKKF9284901162013207,2025-04-04 17:16:32,31993,954,183,66315,6f444dcc-de5f-4638-8410-7a8311ace048
Georgiana Ardelean,georgianaardelean,georgianaardelean@kappa.ro,5980609258607,1965-03-19,"Intrarea Florea Nr. 64, Turnu Magurele, 179176",0763 583 290,96:9b:5e:58:ec:c7,184.29.24.217,RO05TXSL6782144559490474,2025-04-04 17:16:32,21202,529,287,1882961,afe9c087-1d18-4038-8730-3755afde868e
Ileana Dobre,ileanadobre,ileanadobre@gmail.com,2591104184742,2012-07-19,"Bulevardul Fabia Ionescu Nr. 560 Bl. 67  Sc. 18 Ap. 438, Rovinari, 475729",0261 259 088,2a:85:68:d2:bb:ae,94.175.190.227,RO84AIFB5207067581811308,2025-04-04 17:16:32,22806,548,507,723074,cea774d5-2549-4b07-8a97-8ec3aa9309b9
Anda Dinu,andadinu,andadinu@acasa.ro,2600308306157,1931-12-23,"Aleea Agnos Aanei Nr. 78, Lupeni, 818803",0756 180 461,42:72:fd:fa:b8:83,179.71.107.161,RO63MSYQ5720346910684864,2025-04-04 17:16:32,3205,78,330,913889,6ba09c6f-75fb-4822-a8a4-1add89fc7829
Florian Ioniță,florianioniță,florianioniță@post.ro,6890326345516,1978-11-19,"Strada Dochioiu Nr. 873 Bl. 15  Sc. 35 Ap. 656, Sannicolau Mare, 531277",0755 579 710,68:d3:16:29:15:ce,150.195.32.126,RO80KSUS5081490767224547,2025-04-04 17:16:32,28232,45,84,315511,7d7692a5-788a-4ac7-a714-6594017eacbd
Larisa Pușcașu,larisapușcașu,larisapușcașu@email.ro,7820106079771,1973-08-10,"Soseaua Toma Nr. 74 Bl. 43  Sc. 27 Ap. 338, Negresti-Oas, 149988",0247 073 684,78:87:34:9d:4b:01,181.180.175.12,RO17SCIZ5885183175680657,2025-04-04 17:16:32,1242,32,347,1308024,6db43c65-4d0d-47cd-9d9f-c759f674ed03
Viorela Marin,viorelamarin,viorelamarin@141.ro,6850830461483,2000-06-28,"Bulevardul Barbu Popescu Nr. 44, Chisineu-Cris, 898596",0745 641 526,98:bc:91:81:2b:15,170.232.103.233,RO64FKRE0350965246032309,2025-04-04 17:16:32,21009,597,498,1329083,1ec15558-d2ab-422d-b870-0471c8adc682
Jeana Diaconu,jeanadiaconu,jeanadiaconu@zzup.ro,3421130399401,1994-05-01,"Drumul Nemeș Nr. 99 Bl. 80  Sc. 86 Ap. 716, Caracal, 752720",0240 509 387,58:d4:c6:f8:66:a1,96.14.155.188,RO26XDFY3788135692171361,2025-04-04 17:16:32,4008,321,696,83180,c52240b8-6630-403c-a301-11d2ebfea812
Mădălina Albu,mădălinaalbu,mădălinaalbu@141.ro,6850607288508,2008-06-09,"Aleea Corneliu Ioniță Nr. 348, Paunesti, 329843",0264 218 762,36:9d:14:4e:20:61,19.58.250.76,RO23WPUL8292570325060331,2025-04-04 17:16:32,1129,937,159,1913072,bdf86ec2-b982-4c4b-aa82-6d278f6a4b6e
Liviu Niță,liviuniță,liviuniță@141.ro,3390219337872,1966-01-04,"Soseaua Ardelean, Gaesti, 955753",0772 434 979,86:aa:80:27:bb:6b,27.1.143.113,RO55CSOH8446586948900605,2025-04-04 17:16:32,22069,517,678,1232533,33c92041-61ea-4bcd-8fda-b74004ffaf27
Elisabeta Mazilescu,elisabetamazilescu,elisabetamazilescu@gmail.com,3271106465421,2000-10-06,"Drumul Vicenția Tomescu, Seini, 862435",0253 161 756,2a:3f:20:b7:39:36,147.21.3.139,RO91OVGL1204601888590029,2025-04-04 17:16:32,12449,984,11,1979111,c172dce3-d6cf-48ab-92a3-7df0c0b9503e
Sever Pop,severpop,severpop@kappa.ro,4550106202775,1925-07-22,"Drumul Aurelia Eftimie Nr. 395 Bl. 14  Sc. 92 Ap. 896, Sancraiu de Mures, 797845",0241 119 782,d6:98:08:3c:25:5e,84.195.131.32,RO10CTNT8887560905817244,2025-04-04 17:16:32,29567,359,516,1363861,1d2e9434-1e4a-41c0-ae10-fac3dcd0e642
Stelian Nemeș,steliannemeș,steliannemeș@zzup.ro,6400918328384,1973-06-26,"Intrarea Dumitrescu Nr. 47 Bl. 61  Sc. 77 Ap. 225, Pascani, 200437",0265 839 746,f2:a0:0e:fc:ae:40,161.150.182.232,RO40CPMN3611060149922923,2025-04-04 17:16:32,3237,840,544,166132,59c75926-a975-49a1-a6e2-980c69f4701d
Cristian Diaconu,cristiandiaconu,cristiandiaconu@kappa.ro,7391113135069,1959-07-29,"Strada Dorinel Preda Nr. 95, Pancota, 153249",0770 133 283,f4:95:9d:d5:4c:a4,47.84.159.34,RO20GDBT6494251647035210,2025-04-04 17:16:32,30213,218,751,1464036,e27e1942-b48a-4c5b-a5cb-50857b21f08e
Cătălin Stoica,cătălinstoica,cătălinstoica@kappa.ro,7950623254603,1976-03-12,"Intrarea Georgescu, Ocna Mures, 892337",0248 943 766,0e:a3:6e:b4:18:cb,179.113.141.149,RO04ULAU1650249560214121,2025-04-04 17:16:32,4753,561,728,1033329,1ba93e59-d95b-47f7-99a8-5c0baad9748a
Marga Tomescu,margatomescu,margatomescu@email.ro,5291011137671,1994-08-01,"Drumul Ardelean Nr. 18, Roman, 726449",0254 020 572,48:28:bc:ae:1e:0b,56.87.134.169,RO95JKNP6046000681542620,2025-04-04 17:16:32,13138,332,22,1605812,6c2db838-d42f-4f66-90bc-4000aff5b456
George Stănescu,georgestănescu,georgestănescu@zzup.ro,2600805196575,1919-09-12,"Drumul Niță Nr. 201, Vaslui, 932808",0763 347 621,7c:57:f3:a8:10:13,18.109.148.74,RO02YVMI4523398710205931,2025-04-04 17:16:32,32365,784,42,1930355,ae1ebebf-445b-47b5-a555-6a1a70d2b259
Doru Nemeș,dorunemeș,dorunemeș@gmail.com,8430524045310,1998-10-06,"Aleea Eftimie Nr. 64 Bl. 95  Sc. 28 Ap. 424, Moreni, 609859",0736 655 532,10:8a:49:13:0e:7a,80.107.203.220,RO23BDBM3549850750281553,2025-04-04 17:16:32,31436,755,664,264332,42118dba-eceb-45fd-aae1-08be436c7b2a
Janina Nemeș,janinanemeș,janinanemeș@zzup.ro,2850823044422,1935-08-25,"Intrarea Cristea, Popesti-Leordeni, 222728",0727 146 148,e0:15:fd:32:d0:36,31.133.238.104,RO36AKLN1113923729298304,2025-04-04 17:16:32,30303,371,793,1485764,cea65f5f-7024-4b98-b62a-e5064f3c9f09
Simi Popa,simipopa,simipopa@acasa.ro,4990310321320,1951-12-05,"Strada Popescu, Dragu-Brad, 665443",0246 936 349,28:4c:69:a7:10:e6,98.201.119.214,RO37ENXJ5221425565300705,2025-04-04 17:16:32,22530,295,7,1852203,bd548257-2c5f-4dce-9066-9baa00e813fc
Gică Albu,gicăalbu,gicăalbu@141.ro,6871113442930,2011-08-25,"Drumul Dida Ionescu Nr. 67, Urlati, 908964",0259 307 129,de:0a:67:f3:ee:fd,174.157.163.83,RO38LZTH4227146282599064,2025-04-04 17:16:32,24546,38,309,1290000,06b5c66b-23c6-45f8-80cd-7f5f97d4c401
Mircea Dochioiu,mirceadochioiu,mirceadochioiu@141.ro,7810915238827,1996-03-06,"Intrarea Dinu Nr. 19, Sandominic, 895749",0266 980 729,5e:d6:b5:8c:88:a4,102.147.176.177,RO83XOWE3635928079357588,2025-04-04 17:16:32,12791,291,744,1824293,92cefd38-fb6e-4b11-9b6e-8825898fe6f7
Vincențiu Preda,vincențiupreda,vincențiupreda@141.ro,2980627399514,1995-09-06,"Strada Albu Nr. 169, Alba Iulia, 929607",0711 592 209,06:e8:d0:e2:ed:ea,89.80.211.231,RO08HLYE7103005318101104,2025-04-04 17:16:32,5099,45,608,1282879,b73d330c-fbfd-4483-882f-61ba57cffb66
Matei Tudor,mateitudor,mateitudor@post.ro,7180706280081,2007-08-13,"Strada Cristea Nr. 195 Bl. 69  Sc. 34 Ap. 148, Valenii de Munte, 464219",0753 155 020,7e:7a:45:2e:ea:c6,90.233.67.117,RO24PBIS2496365530315743,2025-04-04 17:16:32,18737,346,257,585748,41d8bb4b-a150-4093-8b52-ed9b14593a2c
Anda Pușcașu,andapușcașu,andapușcașu@kappa.ro,4870523075572,1968-09-27,"Intrarea Eftimie Nr. 652 Bl. 35  Sc. 92 Ap. 470, Savinesti (Poiana Teiului), 742950",0780 565 295,22:df:52:f6:68:7d,80.117.232.153,RO42SZCE8927084645051303,2025-04-04 17:16:32,1406,292,169,367114,4e168123-f2af-4b07-b9ed-39729eae6c69
Dan Pușcașu,danpușcașu,danpușcașu@141.ro,2771125291968,1923-01-01,"Drumul Stoica Nr. 967 Bl. 37  Sc. 58 Ap. 278, Voluntari, 659830",0758 920 732,c8:e2:db:d7:80:62,112.237.22.30,RO44YDHX6866016832460164,2025-04-04 17:16:32,20286,761,231,800180,a5e9f3ac-fbe0-4421-8862-602727ace25a
Iacob Pușcașu,iacobpușcașu,iacobpușcașu@141.ro,7040415126608,1985-02-19,"Bulevardul Pușcașu Nr. 28, Negresti-Oas, 200326",0750 072 530,02:2c:a2:bc:34:9c,213.149.58.11,RO12OSLA0251081605671377,2025-04-04 17:16:32,18062,346,153,821958,ebd3a485-f7fd-4076-bfa4-7a2a0f10e6a5
Astrid Dumitrescu,astriddumitrescu,astriddumitrescu@email.ro,1920417149347,2013-05-05,"Bulevardul Florea Nr. 25 Bl. 79  Sc. 14 Ap. 719, Arad, 855172",0250 890 875,88:b2:10:0f:b9:1e,90.230.19.210,RO47IBLQ4446436911423022,2025-04-04 17:16:32,21571,304,23,1770497,006ad398-8010-4fd4-ae85-ec12de9d2077
Alberta Cristea,albertacristea,albertacristea@gmail.com,6370512111983,1916-10-26,"Soseaua Aanei, Lupeni, 562866",0746 419 635,f6:92:6c:e9:c6:bd,74.152.89.214,RO72ALPA3843205062734738,2025-04-04 17:16:32,22348,890,31,1739319,b367e377-e150-4359-9128-2639ec819993
Ruxandra Mocanu,ruxandramocanu,ruxandramocanu@gmail.com,7140720251938,1983-12-16,"Soseaua Oprea Nr. 898 Bl. 18  Sc. 59 Ap. 717, Jilava, 683985",0725 473 938,58:33:86:5b:d8:57,179.119.29.61,RO60XNVQ4276309527438498,2025-04-04 17:16:32,22595,234,240,1965010,9f6a51aa-d407-4196-a981-547c91aebff9
Coralia Marin,coraliamarin,coraliamarin@gmail.com,6330926086194,1990-07-27,"Aleea Dima Nr. 747, Rasnov Romacril, 762270",0235 267 876,1a:a9:47:ef:ae:f4,156.65.156.124,RO43JZRV0358898458182083,2025-04-04 17:16:32,13125,773,402,52609,9004ac10-9884-495e-bc39-727ec3df8da9
George Gheorghiu,georgegheorghiu,georgegheorghiu@141.ro,2530908389003,1915-07-11,"Drumul Petruț Dumitrescu Nr. 540 Bl. 72  Sc. 48 Ap. 289, Eforie Nord, 173438",0731 764 052,94:f9:82:13:17:72,97.112.66.69,RO89DKQM0049460474668278,2025-04-04 17:16:32,13311,493,50,1609535,dce05aa2-f1a8-4a1d-a30c-c06d7121cf70
